Varp of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Baya\Thesis\Data\data\CHEERFUL071G.wav,9777.042703,2.005E+13,0,0,0,0,0,0,0,0,42522536.76,5473340140,0,0,0,0,0,0,0,0,4267551660,5.46717E+11,0,0,0,0,0,0,0,0,4.50115E+14,3.10878E+13,0,0,0,0,0,0,4.40287E-07,3.59121E-07,0,0,4.4295E+14,3.31808E+12,0,0,0,0,0,0,0,0,4.42784E+16,3.31796E+14,0,0,0,0,0,0,0,0,1.25259E+15
D:\Baya\Thesis\Data\data\CHEERFUL072G.wav,16980817.56,1.72074E+13,0,0,0,0,0,0,0,0,19.90984467,4975944466,0,0,0,0,0,0,0,0,3331.24871,4.98139E+11,0,0,0,0,0,0,0,0,3.84004E+14,2.45483E+13,0,0,0,0,0,0,3.45532E-07,3.21773E-07,0,0,3.73686E+14,1.7653E+12,0,0,0,0,0,0,0,0,3.73533E+16,1.76524E+14,0,0,0,0,0,0,0,0,1.11804E+15
D:\Baya\Thesis\Data\data\CHEERFUL073G.wav,35024494.72,2.3202E+13,0,0,0,0,0,0,0,0,22838103.55,7658276216,0,0,0,0,0,0,0,0,2691006006,9.01676E+11,0,0,0,0,0,0,0,0,4.03684E+14,3.62108E+13,0,0,0,0,0,0,1.39112E-07,0,0,0,4.09654E+14,2.96406E+12,0,0,0,0,0,0,0,0,4.80419E+16,3.49253E+14,0,0,0,0,0,0,0,0,1.68106E+15
D:\Baya\Thesis\Data\data\CHEERFUL076G.wav,341365367.8,3.89362E+13,0,0,0,0,0,0,0,0,4862134.358,16205589512,0,0,0,0,0,0,0,0,498183856.1,1.62256E+12,0,0,0,0,0,0,0,0,4.83341E+14,7.44776E+13,0,0,0,0,0,0,9.29109E-07,,0,0,4.29565E+14,3.17785E+12,0,0,0,0,0,0,0,0,4.28739E+16,3.18635E+14,0,0,0,0,0,0,0,0,1.96606E+15
D:\Baya\Thesis\Data\data\CHEERFUL078G.wav,1164461957,4.66025E+13,0,0,0,0,0,0,0,0,692042031.6,15158828148,0,0,0,0,0,0,0,0,69120579096,1.49723E+12,0,0,0,0,0,0,0,0,7.77943E+13,6.33271E+13,0,0,0,0,0,0,2.11643E-06,2.44225E-06,0,0,7.38136E+13,5.76791E+12,0,0,0,0,0,0,0,0,7.3197E+15,5.77944E+14,0,0,0,0,0,0,0,0,2.2785E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL001G.wav,2326070293,2.74979E+13,0,0,0,0,0,0,0,0,395765082.3,17547378194,0,0,0,0,0,0,0,0,40713086748,1.76003E+12,0,0,0,0,0,0,0,0,1.62278E+14,8.75263E+13,0,0,0,0,0,0,4.66995E-07,9.69483E-07,0,0,1.68944E+14,4.93196E+12,0,0,0,0,0,0,0,0,1.68114E+16,4.9054E+14,0,0,0,0,0,0,0,0,6.42434E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL002F.wav,2304372.225,1.06556E+13,0,0,0,0,0,0,0,0,3765521.009,3297894292,0,0,0,0,0,0,0,0,378523667.5,3.29753E+11,0,0,0,0,0,0,0,0,3.40189E+14,1.62952E+13,0,0,0,0,0,0,2.42407E-07,3.73857E-07,0,0,3.39763E+14,5.45233E+11,0,0,0,0,0,0,0,0,3.3962E+16,5.45794E+13,0,0,0,0,0,0,0,0,1.18323E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL002G.wav,3902938085,6.6504E+13,0,0,0,0,0,0,0,0,1713138804,20309886115,0,0,0,0,0,0,0,0,1.72305E+11,2.03667E+12,0,0,0,0,0,0,0,0,5.58121E+14,1.31016E+14,0,0,0,0,0,0,3.61773E-05,0,0,0,6.31167E+14,9.91018E+11,0,0,0,0,0,0,0,0,6.30165E+16,9.97383E+13,0,0,0,0,0,0,0,0,3.32E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL003F.wav,1138577336,4.7989E+12,0,0,0,0,0,0,0,0,1283867807,7117907292,0,0,0,0,0,0,0,0,1.27959E+11,7.08419E+11,0,0,0,0,0,0,0,0,2.83517E+14,2.71305E+13,0,0,0,0,0,0,1.51608E-06,2.23548E-06,0,0,2.29671E+14,1.79538E+11,0,0,0,0,0,0,0,0,2.29429E+16,1.78522E+13,0,0,0,0,0,0,0,0,8.19958E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL005G.wav,120594802.4,2.06783E+13,0,0,0,0,0,0,0,0,7818688.37,4118453776,0,0,0,0,0,0,0,0,782573480.5,4.11828E+11,0,0,0,0,0,0,0,0,5.67682E+14,2.49595E+13,0,0,0,0,0,0,3.1329E-06,1.23488E-05,0,0,5.55019E+14,1.10164E+12,0,0,0,0,0,0,0,0,5.54834E+16,1.10078E+14,0,0,0,0,0,0,0,0,1.98927E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL008F.wav,18760746.45,3.08096E+13,0,0,0,0,0,0,0,0,114765465.4,8545966136,0,0,0,0,0,0,0,0,13466627302,1.00739E+12,0,0,0,0,0,0,0,0,4.59862E+14,5.06891E+13,0,0,0,0,0,0,2.33167E-07,1.10866E-06,0,0,4.35423E+14,9.16807E+12,0,0,0,0,0,0,0,0,5.10486E+16,1.07837E+15,0,0,0,0,0,0,0,0,1.63355E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL010G.wav,23835666.76,2.06234E+13,0,0,0,0,0,0,0,0,49191632.61,5103589469,0,0,0,0,0,0,0,0,4919246507,5.10325E+11,0,0,0,0,0,0,0,0,5.08777E+14,2.92364E+13,0,0,0,0,0,0,2.27959E-06,0,0,0,5.19831E+14,3.4651E+12,0,0,0,0,0,0,0,0,5.1947E+16,3.46198E+14,0,0,0,0,0,0,0,0,2.17335E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL011G.wav,258144.154,9.51289E+12,0,0,0,0,0,0,0,0,118093963,2262861825,0,0,0,0,0,0,0,0,11819165143,2.26247E+11,0,0,0,0,0,0,0,0,4.31265E+14,1.33035E+13,0,0,0,0,0,0,5.86429E-07,1.08228E-06,0,0,4.42402E+14,6.50848E+11,0,0,0,0,0,0,0,0,4.42238E+16,6.50772E+13,0,0,0,0,0,0,0,0,1.71795E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL012F.wav,337279841,3.84479E+13,0,0,0,0,0,0,0,0,133760274.1,14297828608,0,0,0,0,0,0,0,0,13431660551,1.43357E+12,0,0,0,0,0,0,0,0,4.18766E+14,7.24375E+13,0,0,0,0,0,0,5.29622E-07,2.14037E-06,0,0,4.48761E+14,4.03192E+12,0,0,0,0,0,0,0,0,4.48087E+16,4.0527E+14,0,0,0,0,0,0,0,0,1.83239E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL012G.wav,194688220.3,2.12002E+13,0,0,0,0,0,0,0,0,16613743.63,4222521877,0,0,0,0,0,0,0,0,1931505459,4.99957E+11,0,0,0,0,0,0,0,0,5.90689E+14,2.32075E+13,0,0,0,0,0,0,2.64919E-07,2.20836E-07,0,0,5.95386E+14,9.75319E+11,0,0,0,0,0,0,0,0,6.98105E+16,1.15124E+14,0,0,0,0,0,0,0,0,2.13097E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL013F.wav,1095699596,2.24006E+13,0,0,0,0,0,0,0,0,267490163.8,7866848574,0,0,0,0,0,0,0,0,26820930666,7.8582E+11,0,0,0,0,0,0,0,0,5.38189E+14,4.51636E+13,0,0,0,0,0,0,3.38918E-07,7.93585E-07,0,0,5.02815E+14,1.03433E+12,0,0,0,0,0,0,0,0,5.02645E+16,1.02998E+14,0,0,0,0,0,0,0,0,1.54335E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL014F.wav,16440.64214,5.43965E+13,0,0,0,0,0,0,0,0,77859818.28,17728654877,0,0,0,0,0,0,0,0,7757617607,1.78135E+12,0,0,0,0,0,0,0,0,5.37674E+14,1.14322E+14,0,0,0,0,0,0,1.83834E-06,4.34134E-06,0,0,5.12821E+14,1.32412E+12,0,0,0,0,0,0,0,0,5.11559E+16,1.33421E+14,0,0,0,0,0,0,0,0,2.03179E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL017F.wav,802694056.3,1.87941E+13,0,0,0,0,0,0,0,0,7242006.836,8145078884,0,0,0,0,0,0,0,0,715830114,8.14499E+11,0,0,0,0,0,0,0,0,2.52311E+14,5.65622E+13,0,0,0,0,0,0,3.38618E-06,3.96579E-05,0,0,2.27697E+14,2.49565E+13,0,0,0,0,0,0,0,0,2.27456E+16,2.49566E+15,0,0,0,0,0,0,0,0,9.83601E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL017G.wav,6743068405,2.67229E+13,0,0,0,0,0,0,0,0,337764978.1,14063017590,0,0,0,0,0,0,0,0,33703700063,1.40912E+12,0,0,0,0,0,0,0,0,3.06576E+14,6.60132E+13,0,0,0,0,0,0,2.04433E-06,4.25904E-06,0,0,2.58506E+14,2.27271E+12,0,0,0,0,0,0,0,0,2.57866E+16,2.27509E+14,0,0,0,0,0,0,0,0,9.44323E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL020F.wav,7374588890,4.77493E+13,0,0,0,0,0,0,0,0,417840238.1,13843116951,0,0,0,0,0,0,0,0,41667299025,1.38511E+12,0,0,0,0,0,0,0,0,1.57052E+15,6.97398E+13,0,0,0,0,0,0,1.06927E-06,3.0995E-06,0,0,1.63416E+15,3.2669E+12,0,0,0,0,0,0,0,0,1.63419E+17,3.26242E+14,0,0,0,0,0,0,0,0,5.98352E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL021F.wav,69882028.63,3.2977E+13,0,0,0,0,0,0,0,0,518881813,9803502568,0,0,0,0,0,0,0,0,52035272512,9.81071E+11,0,0,0,0,0,0,0,0,6.8024E+14,4.40685E+13,0,0,0,0,0,0,1.66734E-06,0,0,0,6.95829E+14,1.18961E+12,0,0,0,0,0,0,0,0,6.95413E+16,1.19125E+14,0,0,0,0,0,0,0,0,2.72014E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL022F.wav,92937485.73,3.35735E+13,0,0,0,0,0,0,0,0,475618449.8,13366923047,0,0,0,0,0,0,0,0,55731816777,1.57463E+12,0,0,0,0,0,0,0,0,9.01856E+14,9.75704E+13,0,0,0,0,0,0,8.82855E-07,4.24665E-06,0,0,9.25562E+14,3.95041E+13,0,0,0,0,0,0,0,0,1.08494E+17,4.63919E+15,0,0,0,0,0,0,0,0,4.13108E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL022G.wav,14066976.06,1.40343E+13,0,0,0,0,0,0,0,0,12036481.85,3088125798,0,0,0,0,0,0,0,0,1200702055,3.08775E+11,0,0,0,0,0,0,0,0,3.86566E+14,1.57265E+13,0,0,0,0,0,0,3.27569E-07,5.01576E-07,0,0,3.78093E+14,2.34475E+11,0,0,0,0,0,0,0,0,3.77942E+16,2.34057E+13,0,0,0,0,0,0,0,0,1.3088E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL023G.wav,450883627.1,7.01138E+12,0,0,0,0,0,0,0,0,8351559.213,4038939215,0,0,0,0,0,0,0,0,829194578.5,4.04372E+11,0,0,0,0,0,0,0,0,3.38575E+14,2.10335E+13,0,0,0,0,0,0,1.05478E-07,7.63378E-08,0,0,3.57644E+14,1.018E+12,0,0,0,0,0,0,0,0,3.57496E+16,1.01713E+14,0,0,0,0,0,0,0,0,1.113E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL024G.wav,1302912642,1.0884E+13,0,0,0,0,0,0,0,0,35130393.05,2349287003,0,0,0,0,0,0,0,0,3489173011,2.34521E+11,0,0,0,0,0,0,0,0,2.25504E+14,1.2467E+13,0,0,0,0,0,0,1.37548E-07,3.52119E-07,0,0,2.15404E+14,5.2449E+11,0,0,0,0,0,0,0,0,2.15289E+16,5.22733E+13,0,0,0,0,0,0,0,0,7.23692E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL025F.wav,1694465971,2.04461E+13,0,0,0,0,0,0,0,0,22123602.03,5515014124,0,0,0,0,0,0,0,0,2235491457,5.52045E+11,0,0,0,0,0,0,0,0,5.04263E+14,2.63547E+13,0,0,0,0,0,0,3.17325E-07,6.52515E-07,0,0,5.06262E+14,4.85974E+11,0,0,0,0,0,0,0,0,5.06087E+16,4.87018E+13,0,0,0,0,0,0,0,0,2.00254E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL025G.wav,30758224.16,1.95337E+13,0,0,0,0,0,0,0,0,146200008.5,5660266454,0,0,0,0,0,0,0,0,14612724066,5.64792E+11,0,0,0,0,0,0,0,0,6.33356E+14,3.56283E+13,0,0,0,0,0,0,3.91562E-06,0.00014167,0,0,6.0651E+14,2.88347E+12,0,0,0,0,0,0,0,0,6.06319E+16,2.87917E+14,0,0,0,0,0,0,0,0,2.37819E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL026F.wav,274444526.7,4.3293E+13,0,0,0,0,0,0,0,0,1457520905,16634778400,0,0,0,0,0,0,0,0,1.46396E+11,1.67066E+12,0,0,0,0,0,0,0,0,4.47688E+14,6.83111E+13,0,0,0,0,0,0,1.52855E-06,1.27095E-07,0,0,4.40729E+14,1.33588E+12,0,0,0,0,0,0,0,0,4.40061E+16,1.34328E+14,0,0,0,0,0,0,0,0,1.6853E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL026G.wav,15414140.79,6.84784E+12,0,0,0,0,0,0,0,0,1509643.932,3822079287,0,0,0,0,0,0,0,0,150504442.2,3.81686E+11,0,0,0,0,0,0,0,0,2.55724E+14,1.75412E+13,0,0,0,0,0,0,7.25456E-07,0,0,0,2.52021E+14,1.25048E+12,0,0,0,0,0,0,0,0,2.51769E+16,1.24679E+14,0,0,0,0,0,0,0,0,9.99949E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL027G.wav,322417879,1.55059E+13,0,0,0,0,0,0,0,0,8778547.538,4294205334,0,0,0,0,0,0,0,0,877429782.5,4.2888E+11,0,0,0,0,0,0,0,0,4.00098E+14,1.83422E+13,0,0,0,0,0,0,5.97143E-07,9.58832E-07,0,0,4.04407E+14,2.36011E+12,0,0,0,0,0,0,0,0,4.04248E+16,2.35759E+14,0,0,0,0,0,0,0,0,1.399E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL028F.wav,1079891.642,1.53404E+13,0,0,0,0,0,0,0,0,28929151.17,3240891158,0,0,0,0,0,0,0,0,3356513637,3.82857E+11,0,0,0,0,0,0,0,0,4.47837E+14,1.6765E+13,0,0,0,0,0,0,3.48317E-07,,0,0,4.41088E+14,3.289E+11,0,0,0,0,0,0,0,0,5.1696E+16,3.90939E+13,0,0,0,0,0,0,0,0,1.9481E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL031F.wav,407166034.7,2.24818E+13,0,0,0,0,0,0,0,0,17286443.25,6155173236,0,0,0,0,0,0,0,0,1722149199,6.14872E+11,0,0,0,0,0,0,0,0,5.55874E+14,3.05948E+13,0,0,0,0,0,0,4.75846E-06,0,0,0,5.39152E+14,7.766E+11,0,0,0,0,0,0,0,0,5.38969E+16,7.75857E+13,0,0,0,0,0,0,0,0,2.13563E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL033F.wav,79295262.45,2.18302E+13,0,0,0,0,0,0,0,0,2234493.994,11004971427,0,0,0,0,0,0,0,0,221056493.4,1.10045E+12,0,0,0,0,0,0,0,0,5.25638E+14,4.70812E+13,0,0,0,0,0,0,7.35034E-07,6.13492E-06,0,0,5.09814E+14,5.99672E+12,0,0,0,0,0,0,0,0,5.09277E+16,6.00635E+14,0,0,0,0,0,0,0,0,1.98719E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL033G.wav,6645061.952,6.51776E+13,0,0,0,0,0,0,0,0,111845191,20802658964,0,0,0,0,0,0,0,0,11100199523,2.07218E+12,0,0,0,0,0,0,0,0,1.82657E+14,9.23539E+13,0,0,0,0,0,0,2.35993E-07,3.14903E-07,0,0,2.13566E+14,1.15648E+13,0,0,0,0,0,0,0,0,2.1275E+16,1.15621E+15,0,0,0,0,0,0,0,0,9.33443E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL038G.wav,725943699.6,2.32482E+13,0,0,0,0,0,0,0,0,141959036.6,11098255212,0,0,0,0,0,0,0,0,14148438818,1.10897E+12,0,0,0,0,0,0,0,0,1.89934E+14,6.13415E+13,0,0,0,0,0,0,4.89562E-07,2.38144E-07,0,0,1.91145E+14,5.63464E+12,0,0,0,0,0,0,0,0,1.90704E+16,5.60241E+14,0,0,0,0,0,0,0,0,7.276E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL039G.wav,16875033.27,2.24764E+13,0,0,0,0,0,0,0,0,1507762730,7778784211,0,0,0,0,0,0,0,0,1.5118E+11,7.7647E+11,0,0,0,0,0,0,0,0,2.50792E+14,5.27368E+13,0,0,0,0,0,0,1.54118E-06,2.29846E-06,0,0,2.34735E+14,7.51773E+12,0,0,0,0,0,0,0,0,2.34368E+16,7.5243E+14,0,0,0,0,0,0,0,0,9.28555E+14
D:\Baya\Thesis\Data\data\Copy of FEARFUL040G.wav,1262370347,3.42356E+13,0,0,0,0,0,0,0,0,19137295.57,7478320308,0,0,0,0,0,0,0,0,1906747789,7.48522E+11,0,0,0,0,0,0,0,0,4.16586E+14,3.84797E+13,0,0,0,0,0,0,1.64139E-05,1.8274E-05,0,0,3.99637E+14,4.25155E+11,0,0,0,0,0,0,0,0,3.99318E+16,4.25155E+13,0,0,0,0,0,0,0,0,2.12217E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL041G.wav,1012900581,4.64854E+13,0,0,0,0,0,0,0,0,1377058521,19491770488,0,0,0,0,0,0,0,0,1.38599E+11,1.95585E+12,0,0,0,0,0,0,0,0,6.88162E+14,1.14322E+14,0,0,0,0,0,0,6.64953E-06,0,0,0,7.80123E+14,1.46174E+13,0,0,0,0,0,0,0,0,7.79233E+16,1.47123E+15,0,0,0,0,0,0,0,0,3.81821E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL043G.wav,28607436.46,2.04863E+13,0,0,0,0,0,0,0,0,10090744.44,13309429856,0,0,0,0,0,0,0,0,1203681851,1.56809E+12,0,0,0,0,0,0,0,0,4.51361E+14,5.73794E+13,0,0,0,0,0,0,4.15823E-07,3.5264E-06,0,0,4.58881E+14,1.27892E+13,0,0,0,0,0,0,0,0,5.38251E+16,1.50956E+15,0,0,0,0,0,0,0,0,1.73205E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL046G.wav,9103607.791,1.74572E+13,0,0,0,0,0,0,0,0,252358921.7,5279014846,0,0,0,0,0,0,0,0,29639773713,6.21732E+11,0,0,0,0,0,0,0,0,4.58576E+14,2.91842E+13,0,0,0,0,0,0,2.11041E-07,1.2083E-06,0,0,4.16896E+14,1.64817E+12,0,0,0,0,0,0,0,0,4.88419E+16,1.94279E+14,0,0,0,0,0,0,0,0,1.40899E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL048G.wav,764729398.6,1.40477E+13,0,0,0,0,0,0,0,0,901040.7242,4059948575,0,0,0,0,0,0,0,0,90751196.86,4.0544E+11,0,0,0,0,0,0,0,0,6.85249E+14,2.62286E+13,0,0,0,0,0,0,7.53333E-07,7.48341E-06,0,0,6.88195E+14,2.21089E+12,0,0,0,0,0,0,0,0,6.87991E+16,2.2107E+14,0,0,0,0,0,0,0,0,2.5095E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL052G.wav,29733227.06,1.22776E+13,0,0,0,0,0,0,0,0,118951200.4,6017526223,0,0,0,0,0,0,0,0,11877868863,6.00481E+11,0,0,0,0,0,0,0,0,5.53497E+14,3.8031E+13,0,0,0,0,0,0,7.47278E-08,8.71226E-08,0,0,5.44112E+14,8.19967E+12,0,0,0,0,0,0,0,0,5.43929E+16,8.19256E+14,0,0,0,0,0,0,0,0,1.95084E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL055G.wav,235116702,1.0575E+13,0,0,0,0,0,0,0,0,1930129.172,9041621032,0,0,0,0,0,0,0,0,192325652.8,9.04153E+11,0,0,0,0,0,0,0,0,5.43622E+14,3.37631E+13,0,0,0,0,0,0,4.18771E-07,7.00694E-07,0,0,5.35994E+14,8.70956E+12,0,0,0,0,0,0,0,0,5.35625E+16,8.73068E+14,0,0,0,0,0,0,0,0,1.86242E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL057G.wav,4466784.771,8.17172E+12,0,0,0,0,0,0,0,0,61320837.76,2070959571,0,0,0,0,0,0,0,0,6125988098,2.07084E+11,0,0,0,0,0,0,0,0,4.68112E+14,1.12023E+13,0,0,0,0,0,0,7.57679E-07,,0,0,4.6918E+14,2.74654E+12,0,0,0,0,0,0,0,0,4.69008E+16,2.74516E+14,0,0,0,0,0,0,0,0,1.97351E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL058G.wav,6446288.914,2.72238E+13,0,0,0,0,0,0,0,0,820890343.2,21700075084,0,0,0,0,0,0,0,0,82136688650,2.17098E+12,0,0,0,0,0,0,0,0,3.67157E+14,9.69054E+13,0,0,0,0,0,0,5.71935E-07,7.3172E-07,0,0,3.33328E+14,1.88658E+13,0,0,0,0,0,0,0,0,3.32458E+16,1.88647E+15,0,0,0,0,0,0,0,0,1.2156E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL059G.wav,40059082.33,3.62271E+13,0,0,0,0,0,0,0,0,61621799.72,12783436631,0,0,0,0,0,0,0,0,6137460734,1.2801E+12,0,0,0,0,0,0,0,0,4.38998E+14,7.18035E+13,0,0,0,0,0,0,7.45098E-07,3.64493E-06,0,0,4.74529E+14,5.1488E+12,0,0,0,0,0,0,0,0,4.7401E+16,5.14863E+14,0,0,0,0,0,0,0,0,1.85868E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL060G.wav,1615898895,2.09799E+13,0,0,0,0,0,0,0,0,20336996.4,18520234049,0,0,0,0,0,0,0,0,2012139978,1.85308E+12,0,0,0,0,0,0,0,0,3.83385E+14,8.63981E+13,0,0,0,0,0,0,2.96759E-06,2.16535E-05,0,0,3.88203E+14,1.22383E+13,0,0,0,0,0,0,0,0,3.87575E+16,1.22465E+15,0,0,0,0,0,0,0,0,1.55067E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL061G.wav,148913824.4,4.97685E+13,0,0,0,0,0,0,0,0,44767349.39,15709869294,0,0,0,0,0,0,0,0,4476814350,1.57097E+12,0,0,0,0,0,0,0,0,3.93314E+14,8.87451E+13,0,0,0,0,0,0,5.07803E-06,,0,0,3.81364E+14,5.1221E+12,0,0,0,0,0,0,0,0,3.80585E+16,5.12209E+14,0,0,0,0,0,0,0,0,1.67184E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL062G.wav,5249017.149,1.88187E+13,0,0,0,0,0,0,0,0,1815237.608,7016369711,0,0,0,0,0,0,0,0,182727235.8,7.00291E+11,0,0,0,0,0,0,0,0,4.00279E+14,3.10122E+13,0,0,0,0,0,0,2.04753E-06,1.18537E-05,0,0,3.98817E+14,1.08673E+12,0,0,0,0,0,0,0,0,3.98498E+16,1.08339E+14,0,0,0,0,0,0,0,0,1.56195E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL063G.wav,11663247.58,4.75334E+13,0,0,0,0,0,0,0,0,2177998.393,18222537759,0,0,0,0,0,0,0,0,218625906.6,1.8244E+12,0,0,0,0,0,0,0,0,3.26328E+14,1.04868E+14,0,0,0,0,0,0,4.06802E-06,3.73731E-05,0,0,3.14034E+14,1.8579E+13,0,0,0,0,0,0,0,0,3.13044E+16,1.8648E+15,0,0,0,0,0,0,0,0,1.31981E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL067G.wav,1291526560,1.43517E+13,0,0,0,0,0,0,0,0,54917728.11,3322565499,0,0,0,0,0,0,0,0,5485912672,3.31789E+11,0,0,0,0,0,0,0,0,5.151E+14,1.78453E+13,0,0,0,0,0,0,1.55683E-06,1.38078E-06,0,0,5.16719E+14,9.55025E+11,0,0,0,0,0,0,0,0,5.16538E+16,9.54238E+13,0,0,0,0,0,0,0,0,2.11255E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL069G.wav,25976918.72,1.97654E+13,0,0,0,0,0,0,0,0,72524772.27,6656862578,0,0,0,0,0,0,0,0,7266075760,6.65026E+11,0,0,0,0,0,0,0,0,5.46745E+14,4.20299E+13,0,0,0,0,0,0,1.67597E-06,,0,0,5.47292E+14,1.69317E+13,0,0,0,0,0,0,0,0,5.47105E+16,1.69318E+15,0,0,0,0,0,0,0,0,2.50487E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL070G.wav,292639208.1,2.69184E+13,0,0,0,0,0,0,0,0,5629697.397,8764293486,0,0,0,0,0,0,0,0,638947044.6,1.03539E+12,0,0,0,0,0,0,0,0,3.24432E+14,3.92193E+13,0,0,0,0,0,0,2.14542E-07,,0,0,3.53322E+14,9.41724E+11,0,0,0,0,0,0,0,0,4.14163E+16,1.11527E+14,0,0,0,0,0,0,0,0,1.57358E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL073G.wav,173433094.1,2.57575E+13,0,0,0,0,0,0,0,0,565558.8122,13828855802,0,0,0,0,0,0,0,0,56873031.38,1.38475E+12,0,0,0,0,0,0,0,0,3.77975E+14,6.54921E+13,0,0,0,0,0,0,3.22954E-06,2.05718E-05,0,0,3.74833E+14,7.62183E+12,0,0,0,0,0,0,0,0,3.74215E+16,7.65491E+14,0,0,0,0,0,0,0,0,1.43872E+15
